theory_level basis_set n_notNaNs MedAE MAE RMSE MaxAE
APFD DGTZVP 429   5.4210   5.1629   5.9458  13.4393
APFD TZVP 4501   2.6967   3.3845   9.7532 590.9120
APFD Def2TZVP 425   6.1971   6.7602   8.0400  17.9312
APFD cc-pVTZ 430   7.1185   7.5797   8.7852  17.7857
APFD Def2TZVPP 430   7.8514   8.1627   9.4250  19.1136
APFD TApr-cc-pVTZ 430   7.9202   8.1110   9.3268  19.2180
APFD EPR-III 426   6.8619   7.4214   8.6878  18.2317
APFD Apr-cc-pVTZ 430   5.9362   6.6230   7.8205  16.9154
APFD spAug-cc-pVTZ 430   5.6784   6.4244   7.6294  16.7261
APFD MTSmall 430   8.9939   9.1405  10.3746  20.0819
APFD AUG-cc-pVTZ 430   6.5379   7.1269   8.3729  17.8716
APFD cc-pVQZ 430   9.7649   9.8135  11.1137  21.7229
APFD dAug-cc-pVTZ 430   6.7672   7.2968   8.5523  18.1355
APFD Apr-cc-pVQZ 430   8.9981   9.1616  10.4780  21.0103
APFD TApr-cc-pVQZ 430   8.9981   9.1646  10.4789  21.0103
APFD Def2QZVP 429   8.1675   8.4948   9.7974  20.0789
APFD QZVP 430   8.1466   8.4781   9.7863  20.0789
APFD spAug-cc-pVQZ 430   8.8157   9.0504  10.3766  20.9238
APFD Def2QZVPP 430   8.1466   8.4778   9.7862  20.0789
APFD AUG-cc-pVQZ 430   9.3885   9.5144  10.8475  21.5678
B3LYP DGTZVP 429  16.1525  15.5783  16.5294  28.8025
B3LYP TZVP 429  22.3336  21.5668  22.6472  37.9808
B3LYP Def2TZVP 429  13.8465  13.7829  15.3312  32.4229
B3LYP cc-pVTZ 429  12.2448  12.3113  13.7963  29.8383
B3LYP Def2TZVPP 429  11.5345  11.7791  13.3162  29.3037
B3LYP TApr-cc-pVTZ 429  11.4268  11.7867  13.3131  29.5049
B3LYP EPR-III 429  12.5296  12.6560  14.1983  30.6320
B3LYP Apr-cc-pVTZ 429  13.6916  13.6963  15.1466  31.4879
B3LYP spAug-cc-pVTZ 429  13.9674  13.9833  15.4468  31.9606
B3LYP MTSmall 429  10.2100  10.4607  12.0643  27.8818
B3LYP AUG-cc-pVTZ 429  13.0611  13.1475  14.6526  31.0697
B3LYP cc-pVQZ 430   9.2785   9.7219  11.3792  27.1704
B3LYP dAug-cc-pVTZ 429  12.8437  12.9338  14.4565  30.9396
B3LYP Apr-cc-pVQZ 429  10.0726  10.3988  12.0488  27.9731
B3LYP TApr-cc-pVQZ 428  10.0890  10.4109  12.0615  27.9731
B3LYP Def2QZVP 427  11.0407  11.2561  12.8893  29.0995
B3LYP QZVP 430  10.9929  11.2199  12.8579  29.0995
B3LYP spAug-cc-pVQZ 429  10.2229  10.5368  12.1970  28.2151
B3LYP Def2QZVPP 430  10.9929  11.2199  12.8580  29.0995
B3LYP AUG-cc-pVQZ 430   9.6364  10.0689  11.7420  27.7024
B3PW91 DGTZVP 429   3.9800   4.2632   5.0951  13.7177
B3PW91 TZVP 429  10.3019  10.2006  11.0439  21.3303
B3PW91 Def2TZVP 430   4.0070   4.6475   5.6921  15.7936
B3PW91 cc-pVTZ 430   3.5459   3.9660   4.8598  13.7491
B3PW91 Def2TZVPP 430   3.4340   3.9039   4.7875  12.9259
B3PW91 TApr-cc-pVTZ 428   3.2962   3.8288   4.6877  13.0812
B3PW91 EPR-III 430   3.7339   4.1499   5.0762  14.2093
B3PW91 Apr-cc-pVTZ 430   3.6698   4.1955   5.1794  14.7419
B3PW91 spAug-cc-pVTZ 430   3.7708   4.3292   5.3519  15.1431
B3PW91 MTSmall 430   3.5153   3.9016   4.7991  11.9781
B3PW91 AUG-cc-pVTZ 430   3.6174   4.1442   5.0767  14.3688
B3PW91 cc-pVQZ 429   3.5260   4.1056   5.0438  12.3363
B3PW91 dAug-cc-pVTZ 430   3.5921   4.1177   5.0405  14.1784
B3PW91 Apr-cc-pVQZ 430   3.5838   4.0266   4.9172  11.8786
B3PW91 TApr-cc-pVQZ 430   3.5838   4.0267   4.9174  11.8786
B3PW91 Def2QZVP 429   3.5548   4.0002   4.8937  12.6698
B3PW91 QZVP 430   3.5399   3.9932   4.8882  12.6698
B3PW91 spAug-cc-pVQZ 430   3.6792   4.0508   4.9462  12.0943
B3PW91 Def2QZVPP 430   3.5552  16.1986 253.2655 5250.8485
B3PW91 AUG-cc-pVQZ 430   3.6531   4.1158   5.0322  12.2390
BLYP DGTZVP 429  11.7568  14.7301  48.2843 949.8512
BLYP TZVP 429  18.0240  18.6957  21.8028  48.4591
BLYP Def2TZVP 429  12.0711  13.6537  16.9252  42.9994
BLYP cc-pVTZ 429  10.7167  14.3834  48.4724 952.6851
BLYP Def2TZVPP 429  10.7011  14.3560  48.1653 946.0491
BLYP TApr-cc-pVTZ 429  10.3703  13.9704  44.9540 877.2867
BLYP EPR-III 429  11.4694  13.3275  16.6121  42.1598
BLYP Apr-cc-pVTZ 429  11.8727  13.6334  16.8880  42.5392
BLYP spAug-cc-pVTZ 429  12.3131  14.0666  17.3814  43.3986
BLYP MTSmall 429   9.2828  13.5695  46.8833 924.3495
BLYP AUG-cc-pVTZ 429  11.5039  13.3993  16.6919  42.2044
BLYP cc-pVQZ 430   9.1531  13.4600  47.6017 942.2613
BLYP dAug-cc-pVTZ 429  11.5532  15.3414  46.9410 909.9558
BLYP Apr-cc-pVQZ 429  10.0967  13.8675  46.5003 912.9574
BLYP TApr-cc-pVQZ 429  10.0967  13.8675  46.5003 912.9574
BLYP Def2QZVP 429  10.8454  12.3730  15.5695  40.3522
BLYP QZVP 430  10.8368  12.3626  15.5561  40.3522
BLYP spAug-cc-pVQZ 429  10.3625  14.7757  61.1663 1228.0555
BLYP Def2QZVPP 430  10.8368  12.3626  15.5561  40.3522
BLYP AUG-cc-pVQZ 430   9.9288  13.7345  45.7190 897.6962
M062X DGTZVP 429   9.8320   9.9357  10.2550  21.9069
M062X TZVP 429  11.3919  11.2043  11.4845  23.9354
M062X Def2TZVP 4506   2.9486   3.6338   9.7124 580.0009
M062X cc-pVTZ 430   3.6970   4.0359   4.7130  16.1253
M062X Def2TZVPP 4506   2.0055   2.5811   9.1631 576.9246
M062X TApr-cc-pVTZ 430   3.4223   3.7932   4.5289  14.7322
M062X EPR-III 430   4.6750   5.0805   5.9199  16.2306
M062X Apr-cc-pVTZ 427   4.4083   4.7468   5.3695  16.0294
M062X spAug-cc-pVTZ 430   4.5025   4.8456   5.4713  15.7566
M062X MTSmall 401   3.3791   3.7855   4.6036  15.8811
M062X AUG-cc-pVTZ 430   3.4824   3.9425   4.7002  14.7322
M062X cc-pVQZ 4506   2.4170   2.8927   7.1418 416.8765
M062X dAug-cc-pVTZ 429   3.2623   3.6976   4.4974  14.3456
M062X Apr-cc-pVQZ 4506   2.3741   2.9055   7.1562 416.9733
M062X TApr-cc-pVQZ 4506   2.3741   2.9055   7.1562 416.9733
M062X Def2QZVP 3756   3.6270   4.2254  10.6924 579.1044
M062X QZVP 3156   3.8592   4.4426  11.5323 579.0821
M062X spAug-cc-pVQZ 4506   2.4031   2.9641   7.1941 416.9411
M062X Def2QZVPP 3806   3.5747   4.1929  10.6243 579.0758
M062X AUG-cc-pVQZ 4506   2.4408  23.3532 889.7787 53133.6412
mPW3PBE DGTZVP 429   8.8043   8.5068   9.2370  16.1482
mPW3PBE TZVP 4505   3.3868   3.9532  10.9600 666.1054
mPW3PBE Def2TZVP 430   9.1859   9.7673  11.2795  22.9322
mPW3PBE cc-pVTZ 430  10.6731  10.9166  12.2815  22.8960
mPW3PBE Def2TZVPP 430  11.1680  11.4516  12.8419  24.1149
mPW3PBE TApr-cc-pVTZ 430  11.2820  11.4876  12.8544  24.3396
mPW3PBE EPR-III 430   9.9699  10.4556  11.9054  23.1133
mPW3PBE Apr-cc-pVTZ 430   9.2841   9.6912  11.0804  21.8174
mPW3PBE spAug-cc-pVTZ 430   8.9399   9.3747  10.8014  21.5810
mPW3PBE MTSmall 430  12.4035  12.6546  14.0034  25.2788
mPW3PBE AUG-cc-pVTZ 430   9.6911  10.1774  11.6210  22.7670
mPW3PBE cc-pVQZ 430  12.9457  13.2456  14.6295  26.7585
mPW3PBE dAug-cc-pVTZ 430   9.8940  10.3795  11.8282  23.0431
mPW3PBE Apr-cc-pVQZ 430  11.9961  12.3892  13.8059  25.8497
mPW3PBE TApr-cc-pVQZ 429  11.9440  12.3701  13.7840  25.8497
mPW3PBE Def2QZVP 428  11.3201  11.7876  13.2182  25.0699
mPW3PBE QZVP 430  11.3201  11.7643  13.2010  25.0699
mPW3PBE spAug-cc-pVQZ 430  11.7975  12.2047  13.6497  25.7257
mPW3PBE Def2QZVPP 430  11.3201  11.7643  13.2010  25.0699
mPW3PBE AUG-cc-pVQZ 430  12.2826  12.6872  14.1237  26.3539
OHSE2PBE DGTZVP 4501   3.6116   4.0357   9.9845 590.1943
OHSE2PBE TZVP 425   4.7302   5.2029   6.2903  25.0585
OHSE2PBE Def2TZVP 425   4.4044   5.4107   6.7877  16.7677
OHSE2PBE cc-pVTZ 425   5.0193   5.6691   7.0451  16.0322
OHSE2PBE Def2TZVPP 425   5.3931   6.2710   7.7327  17.4985
