QM9_index n(H) n(C) n(N) n(O) n(F) RI-CCSD(T)/aug-cc-pVTZ RI-MP2/aug-cc-pVQZ RI-MP2/aug-cc-pVTZ CCSD(T)/aug-cc-pVQZ_additive_scheme E(HF/cc-pVDZ) U0(QM9) zpve(QM9) dE_CCSD(T)/aug-cc-pVQZ_additive_scheme dE_HF/cc-pVDZ dE_QM9 dE_0DNN_ls_onQM9 PML_QC_DFT_correction dE_PML_QC_DFT PML_QC_CCSD_correction dE_PML_QC_CCSD
1 4 1 0 0 0 -40.460486 -40.456378 -40.432742 -40.484122 -40.198708 -40.478930 0.044749 -0.671576 -0.515050 -0.675815 -0.671319 -0.001647 -0.672966 -0.000090 -0.671409
2 3 0 1 0 0 -56.497995 -56.507928 -56.477189 -56.528735 -56.195508 -56.525887 0.034358 -0.474734 -0.306558 -0.475565 -0.474908 0.001776 -0.473131 0.003143 -0.471765
3 2 0 0 1 0 -76.357811 -76.382729 -76.344094 -76.396447 -76.026526 -76.404702 0.021375 -0.371120 -0.235803 -0.360952 -0.361976 0.001970 -0.360006 -0.004471 -0.366447
4 2 2 0 0 0 -77.227981 -77.242163 -77.197901 -77.272243 -76.825917 -77.308427 0.026841 -0.646841 -0.454272 -0.641178 -0.645206 0.003166 -0.642040 -0.002694 -0.647900
5 1 1 1 0 0 -93.315011 -93.341671 -93.291807 -93.364875 -92.883394 -93.411888 0.016601 -0.498018 -0.306456 -0.497583 -0.509471 0.011359 -0.498112 0.011280 -0.498191
6 2 1 0 1 0 -114.376070 -114.406920 -114.348066 -114.434924 -113.876450 -114.483613 0.026603 -0.596845 -0.399183 -0.598319 -0.601462 0.002776 -0.598686 0.003937 -0.597525
7 6 2 0 0 0 -79.719207 -79.717495 -79.672190 -79.764512 -79.234899 -79.764152 0.074542 -1.139317 -0.866140 -1.143512 -1.139956 -0.001174 -1.141130 -0.000509 -1.140465
8 4 1 0 1 0 -115.597258 -115.622456 -115.562292 -115.657422 -115.049111 -115.679136 0.051208 -0.819447 -0.573287 -0.817901 -0.817008 0.000783 -0.816225 -0.001680 -0.818688
9 4 3 0 0 0 -116.499083 -116.516613 -116.450931 -116.564766 -115.874259 -116.609549 0.055410 -1.126715 -0.817512 -1.123551 -1.125994 0.002713 -1.123281 -0.002916 -1.128910
10 3 2 1 0 0 -132.591020 -132.620652 -132.549372 -132.662300 -131.937699 -132.718150 0.045286 -0.982794 -0.675660 -0.985212 -0.996223 0.010613 -0.985609 0.011641 -0.984582
11 4 2 0 1 0 -153.651873 -153.685465 -153.605091 -153.732247 -152.928551 -153.787612 0.055355 -1.081520 -0.766183 -1.083752 -1.086010 0.003232 -1.082778 0.004396 -1.081614
12 3 1 1 1 0 -169.708735 -169.758541 -169.670386 -169.796890 -168.948029 -169.860788 0.045279 -0.904708 -0.580369 -0.910036 -0.912277 0.002608 -0.909669 0.006973 -0.905303
13 8 3 0 0 0 -118.981799 -118.982657 -118.915920 -119.048535 -118.272452 -119.052475 0.103182 -1.610692 -1.218591 -1.613157 -1.609955 -0.001227 -1.611183 -0.002585 -1.612541
14 6 2 0 1 0 -154.864597 -154.892201 -154.810659 -154.946139 -154.092152 -154.972731 0.079754 -1.295515 -0.931226 -1.292724 -1.292495 0.001109 -1.291386 -0.002875 -1.295370
15 6 2 0 1 0 -154.844876 -154.871197 -154.789597 -154.926476 -154.075893 -154.960361 0.079534 -1.275851 -0.914968 -1.280134 -1.276236 -0.001910 -1.278146 -0.000289 -1.276526
16 6 3 0 0 0 -117.736000 -117.746709 -117.680307 -117.802403 -117.067207 -117.824798 0.081231 -1.364456 -1.011903 -1.364075 -1.361826 -0.001976 -1.363802 -0.004977 -1.366803
17 4 2 0 1 0 -153.610389 -153.645449 -153.565188 -153.690650 -152.877192 -153.742562 0.057289 -1.039922 -0.714824 -1.040636 -1.034651 -0.005958 -1.040609 -0.006000 -1.040651
18 6 3 0 1 0 -192.925636 -192.961910 -192.860052 -193.027494 -191.977317 -193.088340 0.083382 -1.564118 -1.129847 -1.565189 -1.567222 0.002674 -1.564548 0.003784 -1.563438
19 5 2 1 1 0 -208.980617 -209.032579 -208.923101 -209.090095 -207.995948 -209.159302 0.073190 -1.385263 -0.943187 -1.389143 -1.392643 0.003641 -1.389001 0.008307 -1.384335
20 4 1 2 1 0 -225.028317 -225.094656 -224.977846 -225.145127 -224.010438 -225.221461 0.063824 -1.198840 -0.752384 -1.205120 -1.213921 0.004517 -1.209404 0.012873 -1.201048
21 10 4 0 0 0 -158.247456 -158.250983 -158.163197 -158.335241 -157.310420 -158.342346 0.131146 -2.084749 -1.571459 -2.083674 -2.080371 -0.002106 -2.082477 -0.005224 -2.085595
22 8 3 0 1 0 -194.133711 -194.163529 -194.061032 -194.236208 -193.134425 -194.267232 0.107673 -1.772935 -1.288398 -1.767826 -1.767215 0.000117 -1.767098 -0.006227 -1.773442
23 2 4 0 0 0 -153.279673 -153.316872 -153.232123 -153.364422 -152.508283 -153.459846 0.037354 -1.113516 -0.763549 -1.109566 -1.106695 -0.003917 -1.110612 -0.010595 -1.117290
24 1 3 1 0 0 -169.361418 -169.410686 -169.320357 -169.451747 -168.560254 -169.557758 0.027259 -0.959385 -0.610228 -0.960567 -0.965455 0.004650 -0.960805 0.006744 -0.958711
25 0 2 2 0 0 -185.434267 -185.496778 -185.399924 -185.531122 -184.603271 -185.648533 0.015951 -0.797305 -0.447953 -0.803218 -0.815261 0.012421 -0.802841 0.018308 -0.796954
26 2 3 0 1 0 -190.421653 -190.474337 -190.373984 -190.522005 -189.555567 -190.624631 0.037208 -1.058422 -0.705211 -1.056398 -1.059703 0.002742 -1.056960 0.000735 -1.058968
27 1 2 1 1 0 -206.502003 -206.567022 -206.460712 -206.608314 -205.607213 -206.721858 0.026540 -0.903275 -0.551565 -0.906141 -0.918138 0.012450 -0.905689 0.015466 -0.902672
28 2 2 0 2 0 -227.572303 -227.640766 -227.525271 -227.687798 -226.610117 -227.798785 0.036943 -1.011538 -0.654139 -1.012480 -1.019977 0.005513 -1.014464 0.006803 -1.013174
